user_id,bots_used,total_messages,first_interaction,last_interaction,engagement_hours,active_days
39120797,1,131,2025-10-23 05:39:14.053836,2025-10-28 05:38:24.745964,119,2
37507090,1,97,2025-09-13 15:37:45.935688,2025-09-17 21:36:47.297134,101,5
37507042,1,87,2025-09-13 15:37:13.062869,2025-09-15 13:38:47.139856,46,2
37507029,1,55,2025-09-13 15:37:02.716896,2025-09-21 11:34:58.236259,187,4
37519529,1,52,2025-09-13 19:13:44.405965,2025-10-22 20:51:54.578671,937,8
38988493,3,35,2025-10-19 23:45:33.709798,2025-10-19 23:49:39.796124,0,1
38803100,1,34,2025-10-14 19:52:45.411774,2025-10-14 19:55:55.286846,0,1
37524392,1,34,2025-09-13 20:55:22.736976,2025-09-13 22:21:08.688932,1,1
37507061,1,23,2025-09-13 15:38:15.726886,2025-09-13 15:38:43.381094,0,1
37507224,1,22,2025-09-13 15:39:49.807347,2025-09-13 15:40:10.381122,0,1
37507116,1,22,2025-09-13 15:38:08.413905,2025-09-13 15:38:35.693501,0,1
37507089,1,22,2025-10-10 19:43:24.278336,2025-10-10 19:49:47.802808,0,1
9771266,1,20,2025-09-24 17:34:28.801664,2025-09-24 18:35:47.404099,1,1
38412813,1,20,2025-09-30 00:45:08.208040,2025-09-30 15:33:17.278463,14,1
37564794,1,19,2025-09-14 01:31:08.251877,2025-09-14 01:35:02.700822,0,1
37523051,1,17,2025-09-13 20:26:29.149999,2025-09-13 20:32:14.197784,0,1
37514117,1,17,2025-09-13 17:25:45.025986,2025-09-14 16:25:49.023204,23,2
39235844,1,16,2025-10-26 14:49:22.180678,2025-10-26 14:51:37.770176,0,1
37529317,1,14,2025-09-13 22:30:53.456214,2025-09-25 19:01:48.235671,284,2
37507135,1,14,2025-09-13 15:38:26.494862,2025-09-13 15:38:30.097133,0,1
37507022,1,11,2025-09-13 15:36:57.123127,2025-09-14 12:51:16.980477,21,2
37507084,1,11,2025-09-13 15:37:41.247039,2025-09-13 15:38:01.778243,0,1
39294875,1,10,2025-10-28 06:26:25.888604,2025-10-28 06:27:28.880325,0,1
38719776,1,10,2025-10-11 18:03:01.993421,2025-10-11 18:03:19.185756,0,1
37507170,1,9,2025-09-13 15:38:58.574526,2025-09-13 15:39:17.719178,0,1
39007287,1,9,2025-10-20 12:31:37.201858,2025-10-20 12:32:39.915245,0,1
37907410,1,9,2025-09-19 18:36:50.207826,2025-09-19 19:42:30.657085,1,1
37507092,1,8,2025-09-13 15:38:38.800467,2025-09-13 15:38:40.583807,0,1
38423770,1,7,2025-09-30 05:28:06.475880,2025-09-30 05:29:21.795985,0,1
37577409,1,7,2025-09-14 10:06:32.513577,2025-09-14 10:09:21.304118,0,1
37671503,1,7,2025-09-15 15:13:19.175179,2025-09-15 15:14:51.261534,0,1
37737769,1,7,2025-09-16 16:47:58.792294,2025-09-16 16:50:39.573691,0,1
66875,1,7,2025-09-14 08:19:16.472139,2025-09-14 08:22:01.252545,0,1
37524910,1,7,2025-09-13 21:06:33.359988,2025-09-13 21:59:12.735348,0,1
37524042,1,7,2025-09-13 20:47:08.262946,2025-09-13 20:50:49.404415,0,1
38839744,1,7,2025-10-15 19:19:04.271628,2025-10-15 19:24:34.357296,0,1
37509615,1,7,2025-09-13 16:27:05.003134,2025-09-13 16:39:33.099343,0,1
37507133,1,7,2025-09-13 15:38:26.136741,2025-09-13 15:38:57.002440,0,1
37507167,1,6,2025-09-13 15:38:55.603662,2025-09-13 15:38:57.664156,0,1
38757319,1,6,2025-10-13 05:34:32.694174,2025-10-13 05:38:11.799942,0,1
37507099,1,6,2025-09-13 15:37:58.984836,2025-09-13 15:38:00.570357,0,1
37533384,1,6,2025-09-13 23:45:10.192807,2025-09-13 23:46:55.869467,0,1
37571219,1,5,2025-09-14 05:16:03.902867,2025-09-23 03:20:01.403678,214,2
37507130,1,4,2025-09-13 15:39:02.900112,2025-09-13 15:39:03.650991,0,1
37507123,1,4,2025-09-13 15:38:37.917224,2025-09-13 15:38:38.930993,0,1
37508681,1,4,2025-09-13 16:06:35.776209,2025-09-13 16:06:39.599014,0,1
39083075,1,4,2025-10-22 04:07:07.000762,2025-10-22 04:08:52.476449,0,1
39147389,1,4,2025-10-24 02:33:05.060515,2025-10-24 02:33:15.148457,0,1
37507490,1,2,2025-09-13 15:43:10.827064,2025-09-13 15:43:26.281693,0,1
39182835,1,2,2025-10-25 03:28:07.981439,2025-10-25 03:28:11.378885,0,1
36946192,1,2,2025-09-13 13:19:57.460629,2025-09-13 13:20:00.709547,0,1
37507041,1,2,2025-09-13 15:37:12.680037,2025-09-13 15:37:12.845596,0,1
39256451,1,2,2025-10-27 05:46:25.552472,2025-10-27 05:46:28.619467,0,1
37507048,1,2,2025-09-13 17:07:38.796070,2025-09-13 17:07:45.634760,0,1
37518603,1,2,2025-09-13 18:54:46.040640,2025-09-13 18:54:48.886853,0,1
38460425,1,2,2025-10-01 07:27:52.440597,2025-10-01 07:27:55.083170,0,1
37507119,1,2,2025-09-13 15:38:12.744447,2025-09-13 15:38:13.347262,0,1
38504273,1,2,2025-10-02 23:21:49.624674,2025-10-02 23:21:52.525847,0,1
37507115,1,2,2025-09-14 23:08:50.885402,2025-09-14 23:08:54.288651,0,1
37523979,1,2,2025-09-13 20:45:56.803668,2025-09-13 20:46:08.188392,0,1
38014306,1,2,2025-09-21 16:04:14.394634,2025-09-21 16:04:17.074969,0,1
37939702,1,2,2025-09-20 08:02:52.755207,2025-09-20 08:02:55.326576,0,1
37854694,1,2,2025-09-18 17:46:59.492708,2025-09-18 17:47:03.489123,0,1
37743365,1,2,2025-09-16 19:04:37.641911,2025-09-16 19:04:40.357720,0,1
37562572,1,2,2025-09-14 00:47:40.570022,2025-09-14 00:47:43.872119,0,1
37605635,1,2,2025-09-14 23:00:56.069808,2025-09-14 23:00:58.664053,0,1
37579701,1,2,2025-09-14 11:26:44.571206,2025-09-14 11:26:47.761719,0,1
37564504,1,2,2025-09-14 01:24:45.589341,2025-09-14 01:24:49.094238,0,1
37574270,1,2,2025-09-14 07:54:40.617812,2025-09-14 07:54:43.138132,0,1
37573619,1,2,2025-09-14 07:26:23.359191,2025-09-14 07:26:26.436539,0,1
